numero;question;proposition_a;proposition_b;proposition_c;proposition_d;bonne_reponse
1;Quel genre musical ivoirien est né dans le milieu estudiantin et raconte souvent les réalités sociales des jeunes ?;Zouglou;Makossa;Salsa;Flamenco;A
2;Quel artiste ivoirien est fortement associé au zoblazo ?;Alpha Blondy;Meiway;Tiken Jah Fakoly;DJ Arafat;B
3;Quel mouvement musical ivoirien a été popularisé au début des années 2000 par la Jet Set ?;Youssoumba;Mapouka;Coupé-décalé;Boloye;C
4;Quel groupe ivoirien est connu pour le titre « Premier Gaou » ?;Espoir 2000;Les Garagistes;Yodé et Siro;Magic System;D
5;Quel chanteur ivoirien est une figure majeure du reggae africain ?;Alpha Blondy;Petit Denis;Kédjévara;Bebi Philip;A
6;Quel genre musical ivoirien est aussi une danse originaire de la région de Dabou ?;Zoblazo;Mapouka;Gospel;Jazz;B
7;Quel artiste ivoirien était surnommé « Daïshikan » par ses fans ?;Meiway;A'Salfo;DJ Arafat;Tiken Jah Fakoly;C
8;Quel genre est souvent lié aux chants d’ambiance, aux maquis et aux fêtes populaires ?;Rock;Blues;Classique;Wôyô;D
9;Quel groupe est composé notamment d’A'Salfo, Manadja, Tino et Goudé ?;Magic System;Espoir 2000;Poussins Chocs;Les Patrons;A
10;Quelle ville est considérée comme un grand centre de la scène musicale ivoirienne moderne ?;Bouaké;Abidjan;Korhogo;Man;B
11;Quel genre ivoirien associe danse, humour social et langage populaire ?;Polka;Tango;Zouglou;Country;C
12;Quel artiste ivoirien est connu pour son engagement reggae et panafricain ?;DJ Mix;Bebi Philip;Debordo Leekunfa;Tiken Jah Fakoly;D
13;Quel genre musical ivoirien porte le nom d’une danse avec un mouchoir blanc popularisée par Meiway ?;Zoblazo;Techno;Opéra;Rumba;A
14;Quel style ivoirien est marqué par des rythmes dansants, des « concepts » et des pas chorégraphiques ?;Boloye;Coupé-décalé;Gnawa;Kizomba;B
15;Quel artiste est souvent appelé le « roi du coupé-décalé » par ses fans ?;A'Salfo;Meiway;DJ Arafat;Dobet Gnahoré;C
16;Quel genre musical est associé aux groupes comme Yodé et Siro ou Espoir 2000 ?;Raï;Mbalax;Samba;Zouglou;D
17;Quel instrument est couramment utilisé dans plusieurs musiques traditionnelles ivoiriennes ?;Tam-tam;Violon électrique;Clavecin;Saxophone baryton;A
18;Quel artiste ivoirien est lié au reggae et au titre « Brigadier Sabari » ?;Kerozen;Alpha Blondy;Serge Beynaud;Didi B;B
19;Quel genre ivoirien a fortement influencé les danses urbaines dans les années 2000 ?;Valse;Boléro;Coupé-décalé;Fado;C
